sensor,image,method,active_fg_pct,interior_active_pct,components_per_10k_active,small_component_pct,largest_component_px
B,B/roll/png/00002537_B_roll_04.png,Sauvola,51.57522527660545,40.93064401981599,27.423920736022644,26.774193548387096,6465.0
B,B/roll/png/00002537_B_roll_04.png,Canny,22.525379263145886,0.0,113.6317601782459,44.20677361853832,970.0
B,B/roll/png/00002551_B_roll_03.png,Sauvola,49.62974102378316,36.26547177434165,45.818488999889816,22.84569138276553,6694.0
B,B/roll/png/00002551_B_roll_03.png,Canny,25.16439498544028,0.0,127.30664058963076,49.502133712660026,1001.0
B,B/roll/png/00002554_B_roll_02.png,Sauvola,50.717747208760855,34.65834467967178,44.70256527658959,41.509433962264154,4117.0
B,B/roll/png/00002554_B_roll_02.png,Canny,25.747844313938778,0.0,153.08665416656777,51.78294573643411,844.0
B,B/roll/png/00002556_B_roll_10.png,Sauvola,50.21242455737286,36.66206696201613,41.66969278814729,21.78649237472767,5694.0
B,B/roll/png/00002556_B_roll_10.png,Canny,25.68468172784129,0.0,119.79767503771409,43.25925925925926,2666.0
B,B/roll/png/00002602_B_roll_08.png,Sauvola,51.07108479686166,37.06937171611205,39.47333327406406,22.972972972972972,4358.0
B,B/roll/png/00002602_B_roll_08.png,Canny,25.99980022157244,0.0,122.76688262927195,45.37695590327169,1557.0
C,C/roll/png/00002328_C_roll_07.png,Sauvola,54.13239455155623,25.658947709637552,71.31424866792277,57.95454545454545,21982.0
C,C/roll/png/00002328_C_roll_07.png,Canny,35.49494417757891,0.0,139.96601266800556,68.87417218543047,6728.0
C,C/roll/png/00002328_C_roll_09.png,Sauvola,53.60829414764036,23.61768684477511,61.50659452147446,65.97938144329896,27863.0
C,C/roll/png/00002328_C_roll_09.png,Canny,36.4670556908957,0.0,149.14243102162567,77.91666666666667,11822.0
C,C/roll/png/00002344_C_roll_07.png,Sauvola,50.66113283848139,22.203550047263942,91.63953366243042,48.42406876790831,5297.0
C,C/roll/png/00002344_C_roll_07.png,Canny,31.308697155931572,0.0,254.9286199864038,61.666666666666664,668.0
C,C/roll/png/00002369_C_roll_10.png,Sauvola,51.578091016254085,24.515547543938712,75.32350479624027,64.95726495726495,18964.0
